Symbol,Q3 2019 Market Value,Q4 2019 Market Value,Q3 2020 Market Value,Q2 2020 Market Value,Q3 2020 Market Value
MAR,40962.35805,49508.06929,24254.52308,27798.46376,30025.08917
MMC,50656.41756,56225.06365,43567.02151,54782.68337,58098.91231
MLM,17114.804,17477.7804,11769.91675,12857.19971,14655.598
MAS,11923.53664,13633.95977,9118.023098,13074.68346,14355.85194
MA,272414.8678,297828.2857,240178.5173,293642.1683,335645.8335
MKC,22491.05857,19417.13949,23282.61423,27452.89901,
MXIM,15699.1698,16645.15968,13095.24311,16160.16361,18079.01692
MCD,161696.6724,148818.772,123259.609,137163.8156,163323.057
MCK,24624.48071,24473.01909,23951.97629,24871.77515,23912.85828
MDT,146107.7502,154733.2456,130840.4044,129408.5154,
MRK,215532.3683,231557.2267,195140.5464,195188.7596,209800.5305
MET,43368.33471,46873.59225,27996.86177,33145.14139,33737.81029
MTD,17155.09933,19319.70078,16559.12117,19258.70883,23150.24994
MGM,14245.689,17133.51821,5813.754006,8286.056679,10728.8652
MCHP,22116.6695,25025.77612,16240.67675,26585.45714,25941.91903
MU,52595.99236,58387.5402,53284.83277,50561.54147,
MSFT,1061550.997,1203062.63,1199549.704,1543305.821,1591704.434
MAA,14826.85965,15600.82716,11774.23355,13114.25772,13260.64504
MHK,8951.964932,9767.808934,5464.349102,7293.421764,6947.924227
TAP,11443.91229,10745.10554,7768.818004,6895.737985,6718.609542
MDLZ,79779.79293,79305.50716,71761.78772,72986.2353,82058.04096
MNST,31635.67713,34169.69112,30205.76784,36501.38427,42297.19154
MCO,38753.83572,44823.00942,39594.49043,51511.87706,54404.84526
MS,69296.07703,82742.72294,53584,76104.20157,76236.39128
MOS,7910.27359,8196.462138,4098.231069,4741.546639,6925.974407
MSI,28382.80853,27609.0827,22802.82362,23831.53677,26624.31381
MSCI,18443.20671,21869.65283,24565.86075,28379.62367,29840.07173
MYL,10203.90886,10374.27341,7696.19902,8312.51101,7666.323384
NDAQ,16361.7529,17555.29553,15667.88827,19601.54424,20156.14905
NOV,8180.995412,9665.091324,3793.858892,4755.732025,3517.850407
NTAP,13294.55451,12187.27923,9680.918812,9831.666821,
NFLX,117284.8059,141804.8816,164772.0311,200128.4233,220520.9509
NWL,7926.047595,8137.747592,5624.079887,6734.708145,7280.987726
NEM,31090.37829,35622.00471,36576.64078,49551.57423,50954.86229
NWSA,8221.889212,8390.827627,5282.681824,6997.42363,8244.522616
NWS,8221.889212,8390.827627,5282.681824,6997.42363,8244.522616
NEE,113874.0998,118361.9982,117654.9974,117551.2232,135906.6243
NLSN,7558.072739,7222.942679,4468.867096,5297.227085,5058.771365
NKE,116491.1508,111041.772,122240.875,139288.6396,
NI,11170.54182,10399.45755,9545.115242,8704.859837,8426.506897
NSC,46845.74285,50618.74709,37402.15417,44977.37317,54590.83044
NTRS,19772.82853,22279.48367,15791.2875,16506.84749,16224.9819
NOC,63413.71913,57970.29785,50718.57031,51251.08719,52596.61891
NLOK,14604.08657,15905.26396,11233.18814,11680.43881,12316.50114
NCLH,11014.45783,12446.14369,2336.70492,4211.780538,4715.838965
NRG,10018.31984,10056.27326,6829.769773,7947.475225,7504.797389
NUE,15433.72348,17064.93962,10846.77436,12469.98933,13543.01213
NVDA,122421.1826,144695.1555,179017.414,261122.8477,
NVR,13747.44825,13835.08477,9474.877983,11994.88224,15117.28247
ORLY,30178.27962,33158.31258,22353.56336,31298.72634,33784.43013
OXY,39777.51497,36813.59344,10416.24527,16803.10197,9310.723143
ODFL,13598.66838,15148.99827,15691.59798,20002.83032,21227.6046
OMC,17032.10494,17640.64547,11906.05332,11699.84423,10636.00131
OKE,30431.61197,31258.14055,9014.487175,14749.8904,11540.36606
ORCL,184280.5211,158650.3129,169568.2123,175589.9812,
OTIS,#N/A,#N/A,21653.97339,24624.8988,27032.81959
PCAR,24249.30641,27358.63231,21174.94323,25877.6578,29519.57997
PKG,10043.74437,10600.7489,8235.825541,9465.30984,10341.75944
PH,23208.20319,26440.66649,16652.5323,23498.40477,26061.00004
PAYX,30826.13828,27767.74742,25927.9195,27435.11816,
PAYC,12238.54559,15266.06212,11884.65214,17788.74812,18221.29398
PYPL,121891.764,127012.3483,112298.705,204574.0466,231175.2591
PNR,6352.256534,7710.425837,4931.981669,6295.900216,7593.644374
PBCT,6137.832154,7505.694795,4692.51032,4913.288219,4379.451761
PEP,190577.4369,166847.838,183510.7908,193931.6854,
PKI,9460.34241,10787.90673,8378.965048,10925.8697,14033.83991
PRGO,7604.113458,7031.442611,6546.347398,7533.301231,6265.774166
PFE,198730.551,216826.9044,181074.9388,181643.0755,203937.4959
PM,118134.9291,132389.3981,113606.4492,109092.4901,116780.9753
PSX,45502.2163,49505.9266,23490.01005,31396.91254,22638.35468
PNW,10901.34933,10109.12154,8521.75214,8244.645904,8391.122359
PXD,21021.69997,25073.98606,11624.90725,16107.13611,14126.10741
PNC,61530.24161,69119.79211,40585.28052,44636.44019,46657.10849
POOL,8052.267457,8503.270253,7921.173394,10857.27071,13406.98334
PPG,28003.08385,31565.44683,19722.07595,25022.03694,28808.11605
PPL,22743.55816,25942.42553,18949.63985,19864.84867,20918.58527
PFG,15930.4027,15271.95984,8608.721595,11376.46731,11054.86724
PG,311277.4927,311477.1241,271639.8169,296012.5823,346032.5174
PGR,45160.34811,42319.19188,43218.40023,46888.26014,55438.74862
PLD,53784.81656,57203.81007,59400.66749,68931.85663,74334.83873
PRU,36159.89877,37683.47914,20649.73425,24055.5006,25090.40018
PEG,31389.88296,29863.12069,22685.25413,24856.53993,27771.03908
PSA,42823.65397,37199.85241,34684.65337,33540.98167,38932.07881
PHM,10022.69287,10514.79979,6014.795125,9125.093078,12413.94333
PVH,6462.374442,6359.776675,3489.592001,3451.799434,
QRVO,8732.5801,13502.9199,9327.681035,12647.27655,14737.6448
PWR,5374.47975,5792.788868,4367.506909,5399.876308,7339.258932
QCOM,92730.369,100744.9748,77326.85858,102604.6799,132774.3278
DGX,14413.72974,14384.29342,10716.44196,15240.07886,15376.30754
RL,4949.164878,5829.95293,3265.43528,3464.802573,3273.66679
RJF,11448.99384,12410.1601,8802.74869,9431.810776,9979.745506
RTX,117805.7064,129257.5551,81705.33821,93432.49681,87901.28583
O,24990.77918,24564.37191,17154.44368,20433.25656,20961.13973
REG,11643.53605,10571.61249,6445.321958,7784.275306,6449.295154
REGN,29954.48401,40531.94022,52818.81735,69021.41206,58521.31809
RF,15250.47971,16553.2047,8587.815514,10671.63734,11070.71039
RSG,27761.00064,28604.93987,23955.62454,26100.10647,29731.35347
RMD,19411.38961,22282.5159,21300.63761,27776.33789,24840.31737
RHI,6543.4455,7423.977622,4345.795368,6054.436629,6068.783722
ROK,19282.85894,23442.23064,17533.32758,24670.50334,25591.59061
ROL,11157.44766,10857.97621,11845.86087,13894.06097,17761.24998
ROP,37087.11344,36860.46601,33086.05436,40533.03632,41372.28875
ROST,39670.92964,40262.97117,32468.15593,31915.49199,
RCL,22701.74402,27987.83322,6723.529617,10532.08425,13895.45636
SPGI,60338.5737,66733.41535,58982.36089,79371.73264,86904.60147
CRM,137241.7348,161708.9678,144945.2473,175250.3718,
SBAC,27275.51189,27135.71511,30217.4725,33255.28968,35650.18911
SLB,47257.27848,55652.44039,18726.30489,25521.87776,21598.86469
STX,14208.35099,15631.30441,12734.65229,12423.21178,12639.57598
SEE,6414.374041,6154.372821,3821.920398,5113.517599,6041.804525
SRE,40526.40945,42701.59504,33037.48505,34295.08868,34236.7752
