Symbol,Q3 2019 Debt,Q4 2019 Debt,Q1 2020 Debt,Q2 2020 Debt,Q3 2020 Debt
MLHR,476.4,466,770.1,506,
HT,1181.296,1182.747,1204.508,1229.348,1249.063
HSKA,50.115,52.709,53.829,56.486,58.004
HES,7414,7932,8930,8896,8945
HPE,13820,15015,17829,20546,
HXL,1192,1126.6,1390.1,1265.2,999.2
HIBB,250.151,253.938,304.696,252.918,
HIW,2357.526,2579.01,2410.189,2337.662,2469.554
HI,619.5,2001.8,2004.1,1837.3,1673.5
HRC,2443.5,2079,2187.2,2112.6,1955.2
HLT,8937,9163,10608,11408,11444
HMSY,263.917,262.547,260.37,259.002,258.446
HNI,323.008,257.825,311.21,269.801,257.787
HFC,2923.358,2971.205,2963.094,2937.037,3612.807
HOLX,3111.3,3186.7,3666.4,3407.7,3147.2
HOMB,1315.557,1186.728,1494.132,1108.683,975.926
HMST,255.628,725.481,709.409,839.334,640.381
HON,19322,16707,16856,22849,22998
HOPE,988.464,987.999,1037.861,764.876,765.227
HMN,451.392,450.524,433.098,437.172,437.247
HRL,250,379.52,376.262,1363.311,
HST,5000,4400,5904,5150,6250
HWM,6607,6205,7377,5213,5208
HPQ,5137,6030,6633,7418,
HUBG,332.924,323.578,417.619,299.566,274.689
HUBB,1846.2,1672.7,1803,1854.3,1553.8
HPP,3203.993,3291.777,3706.855,3444.519,3524.72
HUM,6508,6114,7955,7782,7783
HBAN,12272,12688,12622,9899,9396
HII,1757,1485,1942,2452,2466
IAA,2034,2032.8,2117.4,2130.6,2146.6
ICHR,193.311,192.627,194.503,216.56,213.424
ICUI,36.941,36.258,203.311,204.824,53.715
IDA,1836.395,1836.659,1837.01,2175.455,2000.358
IEX,916.348,934.415,1096.258,1155.76,1153.665
IDXX,1007.277,1070.428,1265.023,1106.228,990.552
INFO,5125.5,5607.6,5777.2,5336.3,
IIVI,2539.711,2444.033,2420.347,2398.124,1677.028
ITW,7826,7937,7694,7769,7945
ILMN,1871,1881,1893,1891,1905
INCY,74.273,72.079,71.565,75.709,70.863
IRT,982.536,988.748,1052.657,1011.935,1007.167
INDB,346.232,361.405,545.985,295.701,295.734
IBTX,851.583,610.053,1206.734,1170.386,734.502
ILPT,1399.64,1406.608,1361.824,1368.226,1368.521
IR,1656.7,1669.5,3509.9,3895.9,3928.5
NGVT,1373.2,1304.7,1542,1379.8,1353.5
INGR,2223,2009,2103,2766,2346
IOSP,166.8,92.6,91.7,69.2,30.4
IIPR,134.158,135.856,136.358,136.81,137.287
INVA,388.844,377.22,379.152,381.23,383.35
INGN,7.316,6.716,10.979,10.516,10.46
NSIT,1128.034,1192.973,1099.273,790.441,752.118
NSP,314.727,343.406,431.023,430.215,433.836
IBP,614.22,620.783,622.273,621.52,623.753
IIIN,0,1.98,1.938,1.825,2.53
ITGR,873.944,859.393,881.762,1016.539,886.424
IART,1537.704,1457.818,1229.824,1199.251,1630.096
INTC,29646,29706,39919,38347,36563
IPAR,59.153,53.051,45.145,52.36,52.379
IBKR,141,2049,135,257,744
ICE,8164,8153,8595,8682,17647
IDCC,459.019,472.337,354.823,359.119,363.523
TILE,735.72,707.105,732.815,723.971,685.071
IBOC,880.532,997.689,1129.579,958.156,946.864
IBM,71494,68158,69453,69765,70385
IFF,4697.69,4677.963,4332.474,4366.901,4331.724
IP,10787,14423,16957,16202,15442
INTU,775,754,663,3636,
ISRG,77,76.4,0,0,0
IVC,271.729,267.366,288.101,300.73,322.591
IVZ,8152.3,8679.7,9114.6,9011.5,9033.7
IVR,19722.032,19182.303,7637.746,740,5243.288
IRET,733.035,648.801,680.473,655.86,717.267
IPGP,69.099,67.418,45.745,44.984,44.482
IQV,12088,12194,12573,12663,13000
IRDM,1877.861,1806.626,1623.381,1620.124,1616.887
IRBT,62.648,61.771,59.994,59.493,58.24
IRM,10458.252,10616.514,10825.383,11665.748,11066.305
STAR,4035.388,3604.649,3822.022,3523.62,3550.66
ITRI,1052.329,1018.45,1399.562,1403.404,1403.712
ITT,215.3,195.3,488.6,349.1,224.6
JJSF,1.057,71.103,68.265,71.268,61.578
JBHT,1415.212,1420.24,1302.756,1307.019,1303.353
JCOM,1245.52,1579.458,1575.848,1580.337,1584.287
JBL,2927.516,3299.816,3064.146,3309.452,
JKHY,74.23,70.971,123.021,68.632,70.208
JACK,1275.148,2203.121,2326.995,2327.222,2332.825
J,1401.146,2596.134,4047.472,3076.978,2576.455
JRVR,219.424,280.587,381.355,321.355,321.355
JHG,467.4,471.4,315.5,314.8,314
JAZZ,1769.315,1771.211,1769.838,2260.083,2242.687
JBGS,1705.836,1651.548,1846.083,2261.682,2139.784
JEF,20985.972,22900.838,22594.052,22388.547,
JBLU,2508,3152,4017,5556,5734
JBSS,48.045,43.361,66.766,53.43,66.617
JBT,803.7,731.5,737.8,651.6,602
JW.A,977.641,977.189,956.617,1023.992,
JNJ,30210,28681,27583,30394,37758
JCI,7219,8394,8163,9236,9026
JLL,3630.8,2916.4,4220.7,3295.7,3904.8
JPM,620071,544043,612606,629918,585133
JNPR,1891.5,1884.3,1866.5,1882.2,1873.3
KALU,407.4,528.3,531.4,874.7,876
KAMN,205.291,206.542,398.775,399.084,301.593
KSU,2821.5,3377.1,3295.5,3835,3826
KAR,3739.8,3771.4,3590.1,2967,3330.8
KBH,1748.747,1816.604,1800.088,1782.229,
KBR,1476,1459,1269,1278,1531
K,8345,8469,9032,9093,9176
KELYA,85,68.7,93.6,89.7,88.1
KMPR,916.3,1115,1242.7,872.7,1263.9
KMT,640.28,645.733,645.332,1143.069,688.951
KEY,16110,14288,20789,15725,13725
KEYS,1792,1952,1950,1987,
KRC,3394.853,3651.178,3785.709,3753.311,4021.766
KMB,8161,8151,8448,8073,8368
KIM,5404.249,5408.478,5800.081,5440.742,5446.271
KMI,37231,34721,34945,34447,34717
KNSL,11.212,16.744,24.075,33.107,40.138
KEX,1598.45,1536.548,1867.28,1848.229,1778.773
KRG,1225.7,1173.595,1446.488,1346.255,1222.759
KREF,3980.008,3827.338,4312.757,4099.063,4082.654
KLAC,3528.537,3502.434,3539.981,3569.549,3519.252
KNX,950.472,890.295,891.787,828.924,804.063
KN,200.8,200.5,292.3,293.1,243.5
KSS,6103,6208,7688,7729,
KTB,1094.455,1004.474,1479.154,1218.693,1113.571
KOP,1076,1015.9,1061.1,1011.2,911.3
KFY,522.069,641.787,629.761,625.107,
KRA,1547.006,1452.157,1088.177,1098.97,1023.748
KLIC,75.111,98.599,139.403,23.595,24.228
LB,9120,9078,9037,10051,
LHX,7926,7735,7921,7714,7666
LH,7437.8,7107.6,7117.6,7113.9,6683.8
LRCX,4583.851,4563.585,5260.754,5995.089,5833.94
LAMR,4266.267,4245.14,4795.801,4383.874,4172.871
LW,2414.5,2428.2,3713.1,3063.1,
LANC,21.483,21.442,27.824,26.81,20.407
LSTR,148.173,169.467,140.477,136.367,137.143
LCI,728.835,715.218,705.851,692.07,679.148
LNTH,197.591,195.075,191.631,227.153,222.807
LPI,999.387,1201.667,1284.186,1284.53,1242.474
LVS,12267,12825,12322,13838,13912
LZB,316.48,333.083,409.538,376.624,
LCII,332.164,732.33,874.078,804.707,737.328
LEA,2855,2863.3,3849.9,3874.9,2875.3
LEG,2406.5,2278.5,2623.9,2304.7,2127.4
LDOS,3452,3444,4737,5531,5075
LMAT,6.421,15.712,15.418,81.304,76.477
TREE,376.134,367.634,404.34,493.95,696.943
LEN,9573.696,9271.607,9075.177,8269.919,
LII,1625.7,1354.9,1627.6,1570.7,1212.2
LXP,1336.163,1351.419,1468.061,1373.92,1399.291
LGIH,756.724,696.204,749.832,593.526,623.995
LHCG,331.471,351.257,396.911,133.696,121.995
LSI,1931.44,1978.022,2096.403,2071.058,2309.335
LGND,642.391,650.171,455.146,460.581,459.922
LECO,781.42,799.919,899.168,814.666,766.604
LNC,6581,6607,6748,6736,6714
LIN,14156,14932,16875,17480,17803
LNN,145.538,146.685,147.297,146.862,
LQDT,0,12.539,11.458,10.31,#N/A
LAD,3577.1,3801.2,3778.1,3121.6,3709.7
LFUS,702.323,703.583,797.228,798.206,746.566
LIVN,396.953,394.863,593.615,700.161,706.127
LYV,3974.045,4805.488,5189.23,6426.636,6482.904
LTHM,107.6,172.1,226.8,225.4,240.4
LPSN,194.73,198.479,200.49,201.31,202.752
RAMP,22.643,26.45,21.041,19.081,16.817
LKQ,5220.25,5400.88,5087.12,4579.332,4448.261
LMT,14633,13754,12689,12674,12675
L,12176,12240,11968,10005,10408
LPX,393,392,732,381,380
LOW,22287,23750,26225,26185,
LTC,685.223,693.388,689.427,689.465,664.344
LL,208.311,213.803,194.299,238.871,231.387
LUMN,36895,36452,36342,34773,32993
LITE,932.9,1173.5,1180.6,1189.3,1201.9
LMNX,23.403,22.235,22.216,219.104,220.912
LDL,310.884,295.854,310.496,302.667,300.408
LYB,13601,13551,14847,15496,15499
MTB,12941.274,7598.467,6380.615,6373.589,5505.008
MDC,1127.408,1184.868,1192.826,1221.597,1209.723
MHO,883.063,786.758,833.701,845.505,845.848
CLI,3175.259,2832.318,2900.921,2990.465,2919.669
M,7816,7411,8580,8659,
MGLN,758.579,741.244,786.8,760.512,675.153
MANH,40.43,39.097,36.691,34.985,34.165
MAN,1447.8,1532.2,1473.7,1476.7,1521.7
MANT,152.624,169.134,241.998,138.212,116.552
MRO,5734,5709,5671,5660,6045
MPC,31387,31317,34188,34641,33524
MMI,88.38,87.481,85.956,78.142,74.956
HZO,312.065,377.308,405.387,188.559,192.063
