Symbol,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
QCOM,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
DGX,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
RL,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
RJF,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
RTX,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
O,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
REG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
REGN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
RF,Financials,Banks,Banks,Regional Banks
RSG,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
RMD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
RHI,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services
ROK,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
ROL,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
ROP,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
ROST,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
RCL,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
SPGI,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
CRM,Information Technology,Software & Services,Software,Application Software
SBAC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
SLB,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
STX,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
SEE,Materials,Materials,Containers & Packaging,Paper Packaging
SRE,Utilities,Utilities,Multi-Utilities,Multi-Utilities
NOW,Information Technology,Software & Services,Software,Systems Software
SHW,Materials,Materials,Chemicals,Specialty Chemicals
SPG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
SWKS,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
SLG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
SNA,Industrials,Capital Goods,Machinery,Industrial Machinery
SO,Utilities,Utilities,Electric Utilities,Electric Utilities
LUV,Industrials,Transportation,Airlines,Airlines
SWK,Industrials,Capital Goods,Machinery,Industrial Machinery
SBUX,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
STT,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
STE,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
SYK,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
SIVB,Financials,Banks,Banks,Regional Banks
SYF,Financials,Diversified Financials,Consumer Finance,Consumer Finance
SNPS,Information Technology,Software & Services,Software,Application Software
SYY,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors
TMUS,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
TROW,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
TTWO,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
TPR,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
TGT,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
TEL,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
FTI,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
TDY,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
TFX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
TER,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
TXN,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
TXT,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
TMO,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
TIF,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
TJX,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
TSCO,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
TT,Industrials,Capital Goods,Building Products,Building Products
TDG,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
TRV,Financials,Insurance,Insurance,Property & Casualty Insurance
TFC,Financials,Banks,Banks,Regional Banks
TWTR,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
TYL,Information Technology,Software & Services,Software,Application Software
TSN,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
UDR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ULTA,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
USB,Financials,Banks,Banks,Diversified Banks
UAA,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
UA,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
UNP,Industrials,Transportation,Road & Rail,Railroads
UAL,Industrials,Transportation,Airlines,Airlines
UNH,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
UPS,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
URI,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
UHS,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
UNM,Financials,Insurance,Insurance,Life & Health Insurance
VFC,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
VLO,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
VAR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
VTR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
VRSN,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure
VRSK,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
VZ,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
VRTX,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
VIAC,Communication Services,Media & Entertainment,Media,Broadcasting
V,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
VNT,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
VNO,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
VMC,Materials,Materials,Construction Materials,Construction Materials
WRB,Financials,Insurance,Insurance,Property & Casualty Insurance
WAB,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
WMT,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
WBA,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail
DIS,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
WM,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
WAT,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
WEC,Utilities,Utilities,Multi-Utilities,Multi-Utilities
WFC,Financials,Banks,Banks,Diversified Banks
WELL,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
WST,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
WDC,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
WU,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
WRK,Materials,Materials,Containers & Packaging,Paper Packaging
WY,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
WHR,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
WMB,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
WLTW,Financials,Insurance,Insurance,Insurance Brokers
WYNN,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
XEL,Utilities,Utilities,Electric Utilities,Electric Utilities
XRX,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
XLNX,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
XYL,Industrials,Capital Goods,Machinery,Industrial Machinery
YUM,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
ZBRA,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
ZBH,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
ZION,Financials,Banks,Banks,Regional Banks
ZTS,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
