,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
SNBR,0,0,0,0,0
SLM,0.03,0.03,0.03,0.03,0.03
SM,0,0.05,0,0.01,0
SGH,0,0,0,0,
SNA,0.95,1.08,1.08,1.08,1.08
SEDG,0,0,0,0,0
SAH,0.1,0.1,0.1,0.1,0.1
SON,0.43,0.43,0.43,0.43,0.43
SJI,0.2875,0.295,0.295,0.295,0.295
SBSI,0.31,0.31,0.31,0.31,0.31
LUV,0.18,0.18,0.18,#N/A,#N/A
SWX,0.545,0.545,0.57,0.57,0.57
SWN,0,0,0,0,0
SPTN,0.19,0.19,0.1925,0.1925,0.1925
SPPI,0,0,0,0,0
SR,0.5925,0.6225,0.6225,0.6225,0.6225
SRC,0.625,0.625,0.625,0.625,0.625
SPOK,0.125,0.125,0.125,0.125,0.125
SFM,0,0,0,0,0
SPSC,0,0,0,0,0
SPXC,0,0,0,0,0
FLOW,0,0,0,0,0
STMP,0,0,0,0,0
SMP,0.23,0.23,0.25,0,0
SXI,0.2,0.22,#N/A,0.22,0.22
SWK,0.69,0.69,0.69,0.69,0.7
SBUX,0.36,0.41,0.41,0.41,0.41
STT,0.52,0.52,0.52,0.52,0.52
STLD,0.24,0.24,0.25,0.25,0.25
SCL,0.25,0.275,0.275,0.275,0.275
SRCL,0,0,0,0,0
STE,0.37,0.37,0.37,0.37,0.4
STL,0.07,0.07,0.07,0.07,0.07
SHOO,0.14,0.15,0.15,#N/A,#N/A
STC,0.3,0.3,0.3,0.3,0.3
SF,0.15,0.15,0.17,0.17,0.17
SNEX,0,0,0,0,#N/A
STOR,0.35,0.35,0.35,0.35,0.36
STRA,0.5,0.6,0.6,0.6,0.6
SYK,0.52,0.575,0.575,0.575,0.575
RGR,0.14,0.11,0.18,0.35,0.42
INN,0.18,0.18,0.18,#N/A,#N/A
SXC,0,0.06,0.06,0.06,0.06
RUN,0,0,0,0,0
SUPN,0,0,0,0,0
SRDX,0,0,0,0,#N/A
SIVB,0,0,0,0,0
