Symbol,Q3 2019 Share Price,Q4 2019 Share Price,Q1 2020 Share Price,Q2 2020 Share Price,Q3 2020 Share Price
AVB,215.33,209.7,147.17,154.64,149.34
AVY,113.57,130.82,101.87,114.09,127.84
BKR,23.2,25.63,10.5,15.39,13.29
BLL,72.81,64.67,64.66,69.49,83.12
BAC,29.17,35.22,21.23,23.75,24.09
BK,45.21,50.33,33.68,38.65,34.34
BAX,87.47,83.62,81.19,86.1,80.42
BDX,252.96,271.97,229.77,239.27,232.68
BRK.B,208.02,226.5,182.83,178.51,212.94
BBY,71.83,84.69,76.73,99.59,
BIO,332.74,370.03,350.56,451.49,515.46
BIIB,232.82,296.73,316.38,267.55,283.68
BLK,445.64,502.7,439.97,544.09,563.55
BA,380.47,325.76,149.14,183.3,165.26
BKNG,1962.61,2053.73,1345.32,1592.34,1710.68
BWA,36.68,43.38,24.37,35.3,38.74
BXP,129.66,137.86,92.23,90.38,80.3
BSX,40.69,45.22,32.63,35.11,38.21
BMY,50.71,64.19,55.74,58.8,60.29
AVGO,292.85,305.16,271.62,316.75,
BR,124.43,123.54,94.83,126.19,132
BF.B,65.52,67.64,62.2,69.34,
CHRW,84.78,78.2,66.2,79.06,102.19
COG,17.57,17.41,17.19,17.18,17.36
CDNS,66.08,69.36,66.04,95.96,106.63
CPB,46.31,48.39,49.98,49.57,
COF,90.98,102.91,50.42,62.59,71.86
CAH,47.19,50.58,47.94,52.19,46.95
KMX,97.26,87.31,88.05,106.93,
CCL,45.08,33.46,15.74,16.48,
CARR,#N/A,#N/A,17.25,22.22,30.54
CTLT,47.66,56.3,51.95,73.3,85.66
CAT,126.31,147.68,116.04,126.5,149.15
CBOE,114.91,120,89.25,93.28,87.74
CBRE,53.01,61.29,37.71,45.22,46.97
CDW,123.24,142.84,93.27,116.18,119.53
CE,122.29,123.12,73.39,86.34,107.45
CNC,43.26,62.87,59.41,63.55,58.33
CNP,30.18,27.27,15.45,18.67,19.35
CERN,68.17,73.39,62.99,68.55,72.29
CF,49.2,47.74,27.2,28.14,30.71
SCHW,41.83,47.56,33.62,33.74,36.23
CHTR,412.12,485.08,436.31,510.04,624.34
CVX,118.6,120.51,72.46,89.23,72
CMG,840.47,837.11,654.4,1052.36,1243.71
CB,161.44,155.66,111.69,126.62,116.12
CHD,75.24,70.34,64.18,77.3,93.71
CI,151.79,204.49,177.18,187.65,169.41
CINF,116.67,105.15,75.45,64.03,77.97
CTAS,257.06,266.74,247.96,333.24,
CSCO,47.51,45.97,42.38,47.1,
C,69.08,79.89,42.12,51.1,43.11
CFG,35.37,40.61,18.81,25.24,25.28
CTXS,96.52,110.9,141.55,147.91,137.71
CLX,151.87,153.54,173.25,219.37,210.17
CME,211.34,200.72,172.91,162.54,167.31
CMS,63.95,62.84,58.75,58.42,61.41
KO,54.44,55.35,44.25,44.68,49.37
CTSH,60.265,62.02,46.47,56.82,69.42
CL,73.51,68.84,66.36,73.26,77.15
CMCSA,45.08,44.97,34.38,38.98,46.26
CMA,65.99,71.75,29.34,38.1,38.25
CAG,28.87,26.69,34.79,38.36,
CXO,67.9,87.57,42.85,51.5,44.12
COP,56.98,65.03,30.8,42.02,32.84
ED,94.47,90.47,78,71.93,77.8
STZ,186.06,172.38,172.7,184.48,
COO,291,346.89,286.7,282.93,
CPRT,82.64,101.46,80.11,93.25,
GLW,28.52,29.11,20.54,25.9,32.41
CTVA,28,29.56,23.5,26.79,28.81
COST,299.81,281.14,308.47,347.66,
CCI,139.01,142.15,144.4,167.35,166.5
CSX,69.27,72.36,57.3,69.74,77.67
CMI,162.67,178.96,135.32,173.26,211.16
CVS,63.07,74.29,59.33,64.97,58.4
DHI,52.71,52.75,34,55.45,75.63
DHR,144.43,153.48,138.41,176.83,215.33
DRI,118.44,97.5,76.86,86.67,
DVA,57.07,75.03,76.06,79.14,85.65
DE,174.14,158.58,145.06,176.31,
DAL,57.6,58.48,28.53,28.05,30.58
XRAY,53.31,56.59,38.83,44.06,43.73
DVN,24.06,25.97,6.91,11.34,9.46
DXCM,149.24,218.74,269.27,405.4,412.23
FANG,89.91,92.86,26.2,41.82,30.12
DLR,129.81,119.74,138.91,142.11,146.76
DFS,81.09,84.82,35.67,50.09,57.78
DISCA,26.63,32.74,19.44,21.1,21.77
DISCK,24.62,30.49,17.54,19.26,19.6
DISH,33.93602,35.47,19.99,34.51,29.03
DG,160.34,153.41,175.3,190.4,
DLTR,110.4,87.07,79.67,93.35,
D,81.04,82.82,72.19,81.18,78.93
DPZ,293.78,324.07,369.44,408.96,
DOV,99.56,115.26,83.94,96.56,108.34
DOW,47.65,54.73,29.24,40.76,47.05
DTE,132.96,129.87,94.97,107.5,115.04
DUK,95.86,91.21,80.88,79.89,88.56
DRE,33.97,34.67,32.38,35.39,36.9
DD,71.31,64.2,34.1,53.13,55.48
DXC,29.5,37.59,13.05,16.5,17.85
EMN,73.83,79.26,46.58,69.64,78.12
ETN,83.15,94.72,77.69,87.48,102.03
EBAY,38.98,36.11,30.06,52.45,52.1
ECL,198.04,192.99,155.83,198.95,199.84
EIX,75.42,75.41,54.79,54.31,50.84
EW,73.30334,77.763336,62.873333,69.11,79.82
EA,97.82,107.51,100.17,132.05,130.41
EMR,66.86,76.26,47.65,62.03,65.57
ETR,117.36,119.8,93.97,93.81,98.53
EOG,74.22,83.76,35.92,50.66,35.94
EFX,140.67,140.12,119.45,171.88,156.9
EQIX,576.8,583.7,624.57,702.3,760.13
EQR,86.26,80.92,61.71,58.82,51.33
ESS,326.65,300.86,220.24,229.17,200.79
EL,198.95,206.54,159.34,188.68,218.25
